Dip Direction,Dip_Angle,Cluster,Is_Planar_Critical,Is_Topple_Critical
162,64,0,False,False
153,64,2,False,False
157,64,2,False,False
164,70,0,False,False
165,70,0,False,False
170,70,0,False,False
170,71,0,False,False
161,71,0,False,False
154,71,2,False,False
163,71,0,False,False
163,71,0,False,False
163,72,0,False,False
160,72,0,False,False
160,72,0,False,False
165,73,0,False,False
168,73,0,False,False
155,73,2,False,False
156,73,2,False,False
163,73,0,False,False
158,73,2,False,False
162,73,0,False,False
159,73,2,False,False
170,73,0,False,False
170,73,0,False,False
146,73,2,False,False
155,73,2,False,False
161,73,0,False,False
164,73,0,False,False
162,73,0,False,False
161,73,0,False,False
171,73,0,False,False
164,73,0,False,False
156,74,2,False,False
154,74,2,False,False
155,74,2,False,False
155,74,2,False,False
155,74,2,False,False
153,74,2,False,False
155,74,2,False,False
130,75,2,False,False
162,75,0,False,False
170,75,0,False,False
157,75,2,False,False
168,75,0,False,False
155,75,2,False,False
163,75,0,False,False
161,75,0,False,False
156,75,2,False,False
155,75,2,False,False
153,75,2,False,False
156,75,2,False,False
155,75,2,False,False
165,75,0,False,False
166,75,0,False,False
165,75,0,False,False
157,76,2,False,False
155,76,2,False,False
155,76,2,False,False
161,76,0,False,False
167,76,0,False,False
161,76,0,False,False
160,76,0,False,False
155,76,2,False,False
163,76,0,False,False
173,76,0,False,False
165,76,0,False,False
156,76,2,False,False
164,76,0,False,False
158,76,2,False,False
156,76,2,False,False
162,76,0,False,False
160,76,0,False,False
158,76,2,False,False
170,77,0,False,False
154,77,2,False,False
165,77,0,False,False
166,77,0,False,False
163,77,0,False,False
171,77,0,False,False
160,77,0,False,False
164,77,0,False,False
158,77,2,False,False
157,77,2,False,False
161,77,0,False,False
156,77,2,False,False
158,77,2,False,False
161,78,0,False,False
171,78,0,False,False
154,78,2,False,False
155,78,2,False,False
155,78,2,False,False
164,78,0,False,False
173,79,0,False,False
167,79,0,False,False
159,79,2,False,False
164,79,0,False,False
176,79,0,False,False
170,79,0,False,False
162,79,0,False,False
163,79,0,False,False
270,66,1,False,False
273,67,1,False,False
258,67,1,True,False
272,68,1,False,False
253,68,1,True,False
267,68,1,False,False
257,68,1,True,False
254,68,1,True,False
260,69,1,True,False
257,69,1,True,False
255,69,1,True,False
269,69,1,False,False
258,69,1,True,False
260,69,1,True,False
271,69,1,False,False
260,69,1,True,False
260,69,1,True,False
266,69,1,True,False
262,70,1,True,False
272,70,1,False,False
254,70,1,True,False
266,70,1,True,False
272,70,1,False,False
271,70,1,False,False
269,71,1,False,False
271,71,1,False,False
260,71,1,True,False
254,71,1,True,False
266,71,1,True,False
254,71,1,True,False
272,71,1,False,False
272,71,1,False,False
253,71,1,True,False
269,71,1,False,False
272,72,1,False,False
252,72,1,True,False
272,72,1,False,False
260,73,1,True,False
272,73,1,False,False
250,73,1,True,False
265,73,1,True,False
258,73,1,True,False
255,73,1,True,False
